name,address,city,state,stars,phone,wifiScore,outdoorSeating,liveMusic,outlets,veganMilk,food,popularItem,IMG,website
Any Given Sundae,2612 Brandt School Rd,Wexford,PA,5,(790) 1974222,3.92,1,0,0,1,0,Peppermint Mocha,http://dummyimage.com/189x151.jpg/5fa2dd/ffffff,https://a8.net/tincidunt/eu/felis/fusce.js
DAVIDsTEA,10 Dundas Street E,Toronto,ON,4,(191) 1328148,3.74,1,0,1,1,0,Peppermint Mocha,http://dummyimage.com/240x211.jpg/dddddd/000000,http://blinklist.com/quisque/arcu/libero/rutrum/ac.aspx
Bampot House of Tea & Board Games,201 Harbord Street,Toronto,ON,4,(696) 2117091,3.37,1,0,1,0,1,Nitro Cold Brew,http://dummyimage.com/241x244.jpg/cc0000/ffffff,https://mit.edu/ultrices/posuere/cubilia.aspx
Koko Bakery,3710 Payne Ave,Cleveland,OH,4,(413) 4526234,2.01,1,0,0,0,1,Chai Tea Latte,http://dummyimage.com/202x235.png/dddddd/000000,https://mapy.cz/justo.html
Hestia,"733 Rue Cathcart, Suite 6",Montreal,QC,4.5,(123) 8059729,1.49,0,0,0,1,0,Nitro Cold Brew,http://dummyimage.com/183x113.png/dddddd/000000,http://tuttocitta.it/aenean.js
Teavana,"3200 Las Vegas Blvd S, Ste 1795",Las Vegas,NV,3.5,(156) 2822839,2.66,1,1,1,0,0,Vanilla Cappuccino,http://dummyimage.com/137x191.png/cc0000/ffffff,http://wufoo.com/purus.jsp
Dunkin Donuts,16131 Lancaster Hwy,Charlotte,NC,2.5,(434) 5998271,1.28,1,0,1,1,1,Nitro Cold Brew,http://dummyimage.com/224x144.bmp/dddddd/000000,https://theatlantic.com/nonummy/integer/non/velit/donec/diam/neque.png
Coffee Culture,10037 Keele Street,Vaughan,ON,3.5,(563) 7433033,2.75,1,0,0,0,1,Peppermint Mocha,http://dummyimage.com/159x187.jpg/cc0000/ffffff,https://mac.com/in/faucibus.png
Bubble Tea and Me,"7330 Yonge Street, Suite 107",Thornhill,ON,3.5,(294) 7589382,4.92,0,0,0,1,0,Vanilla Cappuccino,http://dummyimage.com/133x208.bmp/5fa2dd/ffffff,http://bloomberg.com/lacus/purus/aliquet/at/feugiat/non/pretium.jsp
Urban Boba Tea House,"2470 W Happy Valley Rd, Ste 1183",Phoenix,AZ,4,(688) 9243689,1.02,1,0,1,1,1,Peppermint Mocha,http://dummyimage.com/125x152.jpg/cc0000/ffffff,http://soundcloud.com/sapien/placerat.json
Donut Counter,3337 Avenue Bayview,North York,ON,4,(279) 9639378,2.52,1,0,1,1,0,Nitro Cold Brew,http://dummyimage.com/153x198.jpg/ff4444/ffffff,http://timesonline.co.uk/fusce/congue/diam/id.json
Hula Girl Espresso,456 Ossington Avenue,Toronto,ON,4,(722) 3820076,2.65,0,0,1,0,1,Nitro Cold Brew,http://dummyimage.com/163x128.png/dddddd/000000,http://myspace.com/turpis/donec/posuere/metus.xml
Frozen Creamery,"744 W Ray Rd, Ste 103",Gilbert,AZ,4,(186) 6849662,4.18,0,0,1,1,0,Chai Tea Latte,http://dummyimage.com/172x144.jpg/ff4444/ffffff,http://freewebs.com/nullam/porttitor/lacus/at/turpis.png
Dunkin Donuts,"3027 Graham Rd, Ste 4",Stow,OH,1,(735) 3095137,1.77,0,1,1,1,1,Peppermint Mocha,http://dummyimage.com/107x238.bmp/dddddd/000000,http://moonfruit.com/enim/leo/rhoncus/sed/vestibulum.html
Second Cup,895 Rue De La Gauchetiere E,Montreal,QC,3,(462) 4081869,4.48,1,0,1,0,1,Vanilla Cappuccino,http://dummyimage.com/122x156.jpg/5fa2dd/ffffff,http://addtoany.com/at/nibh/in.xml
Le Fouvrac,"1404, rue Fleury Est",Montreal,QC,5,(966) 9689552,2.02,1,1,1,1,1,Nitro Cold Brew,http://dummyimage.com/167x166.png/5fa2dd/ffffff,http://bloglines.com/mauris/vulputate/elementum.json
Cafe Merlin,Augustenstr. 72,Stuttgart,BW,4,(477) 7087719,2.23,1,1,0,1,0,Chai Tea Latte,http://dummyimage.com/240x159.bmp/ff4444/ffffff,http://utexas.edu/eu/interdum/eu/tincidunt.html
Coffee Bean Cafe,15400 Hurontario Street,Inglewood,ON,3.5,(446) 7887287,4.11,0,1,1,0,0,Chai Tea Latte,http://dummyimage.com/218x107.jpg/dddddd/000000,http://sogou.com/lacus/purus/aliquet.jsp
Ora Mangiamo,"780 Kingston Road, Unit 8",Pickering,ON,5,(925) 4889566,2.17,1,0,1,0,1,Vanilla Cappuccino,http://dummyimage.com/212x107.bmp/dddddd/000000,http://cdc.gov/duis/consequat/dui/nec/nisi/volutpat/eleifend.xml
Goed Eten,188 Ossington Avenue,Toronto,ON,3,(783) 8746289,4.35,1,0,0,1,0,Vanilla Cappuccino,http://dummyimage.com/249x244.jpg/dddddd/000000,http://github.io/posuere/cubilia/curae/nulla/dapibus/dolor.xml
Icha Tea,"235 Spadina Avenue, Unit 4",Toronto,ON,4.5,(432) 5010768,1.2,1,1,1,1,0,Chai Tea Latte,http://dummyimage.com/111x149.bmp/dddddd/000000,https://scientificamerican.com/amet/sem/fusce.png
Starbucks,735 S Green Valley Pkwy,Henderson,NV,3.5,(392) 7074456,1.51,0,1,1,1,0,Chai Tea Latte,http://dummyimage.com/227x225.jpg/5fa2dd/ffffff,http://tuttocitta.it/odio/odio/elementum/eu/interdum/eu.png
Starbucks,6365 S Rainbow Blvd,Las Vegas,NV,3.5,(446) 3078227,3.38,0,0,0,1,1,Vanilla Cappuccino,http://dummyimage.com/179x142.jpg/cc0000/ffffff,http://amazon.co.jp/est/lacinia/nisi/venenatis/tristique/fusce/congue.png
Waterbean Coffee,"9705 Sam Furr Rd, Ste A",Huntersville,NC,4.5,(807) 9082997,4.35,1,0,1,1,0,Vanilla Cappuccino,http://dummyimage.com/150x177.bmp/5fa2dd/ffffff,http://cbsnews.com/id.png
Krispy Kreme Doughnuts,7015 W Spring Mountain Rd,Las Vegas,NV,3,(675) 4160607,4.62,0,1,0,1,1,Peppermint Mocha,http://dummyimage.com/155x127.png/5fa2dd/ffffff,http://woothemes.com/hac/habitasse.jsp
Le Neuf Cafe,9 Clarence Square,Toronto,ON,3.5,(832) 3722886,2.56,0,0,0,0,0,Vanilla Cappuccino,http://dummyimage.com/161x178.png/cc0000/ffffff,http://rakuten.co.jp/metus/aenean/fermentum/donec/ut.aspx
Starbucks,"2001 E Lake Mead Blvd, Ste 105",North Las Vegas,NV,3.5,(742) 2275563,2.44,1,1,1,1,1,Vanilla Cappuccino,http://dummyimage.com/176x239.bmp/5fa2dd/ffffff,http://mediafire.com/hac/habitasse/platea/dictumst.xml
Starbucks,7077 Bathurst Street,Thornhill,ON,3.5,(513) 3587732,1.2,0,1,0,1,0,Chai Tea Latte,http://dummyimage.com/217x217.png/cc0000/ffffff,https://epa.gov/odio/elementum/eu/interdum/eu/tincidunt.html
Tim Hortons,799 Dundas Street E,Mississauga,ON,3,(630) 1990930,2.67,0,0,0,1,0,Vanilla Cappuccino,http://dummyimage.com/155x196.bmp/ff4444/ffffff,https://alibaba.com/hac/habitasse/platea/dictumst/morbi/vestibulum/velit.html
T By Daniel,46 Main Street N,Brampton,ON,5,(910) 2675192,2.48,1,1,1,0,0,Nitro Cold Brew,http://dummyimage.com/219x250.bmp/cc0000/ffffff,http://jigsy.com/luctus/tincidunt/nulla/mollis/molestie/lorem/quisque.aspx
Sonic,60 Cecil Street,Toronto,ON,4,(363) 2157924,4.82,0,1,0,1,0,Nitro Cold Brew,http://dummyimage.com/240x151.jpg/cc0000/ffffff,http://xing.com/eget/congue/eget/semper/rutrum/nulla/nunc.jpg
Duo Patisserie & Cafe,"230 Commerce Valley Drive E, Unit 4",Markham,ON,4.5,(782) 6828873,4.4,0,1,1,1,0,Vanilla Cappuccino,http://dummyimage.com/246x132.png/dddddd/000000,http://yahoo.co.jp/quam/sapien/varius/ut/blandit/non.jpg
Teavana,1800 sheppard Avenue,Toronto,ON,2,(192) 8554412,2.14,1,1,0,1,1,Nitro Cold Brew,http://dummyimage.com/200x128.png/5fa2dd/ffffff,http://mozilla.com/tortor.json
Waffles Cafe,"6446 N Durango Dr, Ste 150",Las Vegas,NV,4,(245) 7963825,1.23,1,0,1,0,0,Chai Tea Latte,http://dummyimage.com/154x147.png/ff4444/ffffff,https://chicagotribune.com/vel/lectus/in/quam/fringilla/rhoncus/mauris.html
Presse Cafe,"1794 Avenue Pierre-Peladeau, Suite G07",Laval,QC,2.5,(621) 3055478,2.01,1,1,1,0,1,Vanilla Cappuccino,http://dummyimage.com/207x182.jpg/ff4444/ffffff,http://miibeian.gov.cn/cras.xml
Hinckley Coffee & Donuts,1388 Ridge Rd,Hinckley,OH,5,(877) 6977626,1.62,0,1,0,0,0,Peppermint Mocha,http://dummyimage.com/215x182.jpg/5fa2dd/ffffff,http://indiegogo.com/montes/nascetur/ridiculus.jpg
Dunkin Donuts,2267 Spider Dr NE,Kannapolis,NC,2.5,(421) 9759684,3.14,1,0,1,1,1,Nitro Cold Brew,http://dummyimage.com/206x208.jpg/5fa2dd/ffffff,http://live.com/sed/sagittis/nam/congue/risus/semper.jpg
The Shmooz,590 Pape Avenue,Toronto,ON,4.5,(758) 7950643,1.73,1,0,1,1,1,Peppermint Mocha,http://dummyimage.com/248x238.bmp/5fa2dd/ffffff,http://odnoklassniki.ru/vestibulum/ante/ipsum/primis.html
Zoom Espresso,4041 N Central Ave,Phoenix,AZ,3,(579) 1701550,2.77,1,0,0,1,0,Vanilla Cappuccino,http://dummyimage.com/149x127.png/ff4444/ffffff,http://soundcloud.com/quam/sollicitudin/vitae/consectetuer/eget.js
Central Coffee Shop,1001 New Beginnings Dr,Henderson,NV,4.5,(295) 4812115,3.7,0,1,0,0,1,Peppermint Mocha,http://dummyimage.com/246x225.bmp/5fa2dd/ffffff,https://printfriendly.com/lorem.jpg
Starbucks,"6807 E Baseline Rd, Ste 101",Mesa,AZ,3,(905) 6565123,2.06,0,0,0,0,0,Vanilla Cappuccino,http://dummyimage.com/183x245.jpg/5fa2dd/ffffff,https://de.vu/consequat/morbi/a/ipsum/integer/a.html
Caf e Myriade,4627 Rue Saint-Denis,Montreal,QC,4.5,(582) 6074389,1.67,0,0,1,0,1,Nitro Cold Brew,http://dummyimage.com/232x209.png/ff4444/ffffff,http://deliciousdays.com/suscipit/a/feugiat/et.js
Eiscaf e Venedig,Königstr. 66,Stuttgart,BW,2.5,(448) 8068191,4.52,1,0,1,1,1,Nitro Cold Brew,http://dummyimage.com/205x106.jpg/5fa2dd/ffffff,https://squarespace.com/tincidunt.jpg
Piecebox,2 Polwarth Crescent,Edinburgh,EDH,4,(402) 1807673,1.55,0,1,1,0,0,Peppermint Mocha,http://dummyimage.com/249x138.bmp/ff4444/ffffff,http://hc360.com/cras/in/purus/eu/magna.jpg
Garfunkels Restaurants,"130 High Street, Old Town",Edinburgh,EDH,3,(172) 2584428,1.51,1,0,1,0,1,Vanilla Cappuccino,http://dummyimage.com/132x148.png/dddddd/000000,http://china.com.cn/elit/ac/nulla/sed/vel/enim.aspx
Tim Hortons,4504 London Line,Lambton,ON,2,(450) 3595085,3.5,0,0,0,0,1,Chai Tea Latte,http://dummyimage.com/100x149.jpg/dddddd/000000,http://paginegialle.it/montes/nascetur.js
Dunkin Donuts,15800 Snow Rd,Brook Park,OH,3.5,(627) 8884564,2.37,1,0,0,1,1,Vanilla Cappuccino,http://dummyimage.com/149x168.png/ff4444/ffffff,https://gov.uk/cras/pellentesque/volutpat/dui.jsp
WhereUBean Coffee,"4804 E Chandler Blvd, Ste 110",Phoenix,AZ,4.5,(212) 7476547,4.91,1,1,1,1,1,Chai Tea Latte,http://dummyimage.com/120x136.png/5fa2dd/ffffff,https://marketwatch.com/eu/orci.jpg
Burr & Co,20 George Street,Edinburgh,EDH,3.5,(540) 2001618,4.11,0,0,0,0,0,Chai Tea Latte,http://dummyimage.com/166x246.png/cc0000/ffffff,https://mayoclinic.com/felis/eu/sapien/cursus/vestibulum/proin/eu.png
Sharetea,"15 Northtown Way, Unit 22",Toronto,ON,4,(133) 1430754,3.84,0,0,0,0,1,Vanilla Cappuccino,http://dummyimage.com/227x179.png/cc0000/ffffff,https://eventbrite.com/metus/arcu.html
Lauras Kitchen,33 William Street,Edinburgh,EDH,4.5,(356) 6566327,2.82,1,0,1,1,0,Vanilla Cappuccino,http://dummyimage.com/157x226.png/cc0000/ffffff,http://ed.gov/hac/habitasse/platea/dictumst.json
Dak Lak Vietnamese Coffee,"4300 Steeles Avenue E, Unit C2-208, 2nd Floor",Markham,ON,4,(912) 6929740,2.14,1,0,1,1,1,Chai Tea Latte,http://dummyimage.com/133x231.png/cc0000/ffffff,https://sun.com/nulla/integer/pede/justo/lacinia/eget/tincidunt.json
G For Gelato and Pizza Bar,75 Jarvis Street,Toronto,ON,4,(454) 6570326,1.56,1,0,0,1,0,Vanilla Cappuccino,http://dummyimage.com/195x114.bmp/5fa2dd/ffffff,https://hp.com/nec/molestie/sed.png
Nestle Toll House Cafe by Chip,"6800 N 95th Ave, Ste 760",Glendale,AZ,2.5,(183) 7454114,4.48,1,1,0,1,0,Peppermint Mocha,http://dummyimage.com/129x180.bmp/dddddd/000000,https://china.com.cn/ligula/in/lacus/curabitur/at.jsp
Crazy Mocha,417 Walnut St,Sewickley,PA,4.5,(884) 2939756,4.52,1,0,1,0,1,Peppermint Mocha,http://dummyimage.com/200x205.jpg/dddddd/000000,http://furl.net/sit.html
Starbucks,2048 E Baseline Rd,Mesa,AZ,2.5,(621) 3684734,2.58,0,1,0,1,0,Nitro Cold Brew,http://dummyimage.com/103x166.bmp/cc0000/ffffff,https://eepurl.com/integer.xml
Starbucks,1845 E Baseline Rd,Gilbert,AZ,2.5,(952) 8534746,4.59,0,1,1,1,1,Chai Tea Latte,http://dummyimage.com/178x152.jpg/ff4444/ffffff,http://twitter.com/id/nisl/venenatis/lacinia/aenean.xml
Espresso Royale,1402 W Gregory Dr,Urbana,IL,2,(659) 1150177,1.07,0,1,1,1,0,Peppermint Mocha,http://dummyimage.com/150x194.jpg/ff4444/ffffff,https://pcworld.com/orci/mauris/lacinia/sapien/quis/libero.json
destiny,"633 Silver Star Blvd, #115",Scarborough,ON,3,(598) 2518474,1.65,0,0,1,1,0,Peppermint Mocha,http://dummyimage.com/223x140.jpg/dddddd/000000,https://ed.gov/proin/at/turpis/a/pede/posuere/nonummy.xml
Starbucks,6801 Northlake Mall Dr,Charlotte,NC,3.5,(656) 7321762,1.13,0,1,0,0,0,Vanilla Cappuccino,http://dummyimage.com/211x129.jpg/cc0000/ffffff,https://fema.gov/ligula/sit/amet/eleifend/pede.aspx
Les Intraitables,150 Rue Notre-Dame Est,Montreal,QC,4,(329) 1698576,1.11,1,0,1,1,1,Peppermint Mocha,http://dummyimage.com/133x148.bmp/cc0000/ffffff,http://ask.com/odio/elementum/eu/interdum.jpg
Starbucks,3143 Yonge Street,Toronto,ON,3.5,(230) 2080590,1.41,1,0,1,0,0,Nitro Cold Brew,http://dummyimage.com/235x195.bmp/ff4444/ffffff,http://blogs.com/curae/nulla/dapibus/dolor.json
Dolce21 Dessert House,"4300 Steeles Avenue E, Unit B35A",Markham,ON,3,(270) 1535351,3.71,0,1,1,1,0,Nitro Cold Brew,http://dummyimage.com/232x212.png/cc0000/ffffff,https://printfriendly.com/congue.js
Dunkin Donuts,1601 W High St,Stowe,PA,1.5,(236) 4463531,4.83,0,0,0,1,1,Nitro Cold Brew,http://dummyimage.com/187x199.bmp/dddddd/000000,http://wired.com/in/faucibus.html
Fair Trade Coffee House,418 State St,Madison,WI,4,(510) 3891627,2.77,0,1,1,0,1,Vanilla Cappuccino,http://dummyimage.com/210x246.bmp/cc0000/ffffff,http://unesco.org/quam/a/odio.jpg
Cafe Uno,55 Mill St,Toronto,ON,2.5,(311) 1442883,2.23,1,1,1,0,0,Chai Tea Latte,http://dummyimage.com/186x112.png/5fa2dd/ffffff,http://ustream.tv/quisque/id/justo.jpg
Cafe Novo,1986 Bloor Street W,Toronto,ON,3.5,(299) 8533553,4.61,0,0,0,1,1,Peppermint Mocha,http://dummyimage.com/112x200.bmp/cc0000/ffffff,https://blogger.com/quam/sollicitudin/vitae/consectetuer/eget/rutrum.jpg
Moon Bean Coffee Company,30 St. Andrew Street,Toronto,ON,4,(649) 5904327,4.27,1,0,1,0,1,Nitro Cold Brew,http://dummyimage.com/170x109.png/cc0000/ffffff,http://wunderground.com/sed/accumsan/felis.aspx
Maison M etivier,131 Prince Arthur E,Montreal,QC,4.5,(788) 8937531,4.55,0,1,1,0,1,Chai Tea Latte,http://dummyimage.com/180x144.png/ff4444/ffffff,http://eventbrite.com/volutpat/eleifend/donec/ut/dolor/morbi.xml
Manic Coffee,426 College St,Toronto,ON,3.5,(828) 8706040,4.4,0,0,0,0,1,Chai Tea Latte,http://dummyimage.com/212x108.jpg/cc0000/ffffff,http://dedecms.com/in.js
Caf e Maille,Wehrneckarstr. 13,Esslingen,BW,4,(715) 3350494,4.2,1,0,1,1,0,Chai Tea Latte,http://dummyimage.com/171x143.png/dddddd/000000,http://nymag.com/platea/dictumst/maecenas/ut/massa/quis.aspx
Life Cafe,121 Carnegie St,Henderson,NV,3.5,(387) 4269451,1.43,0,1,1,0,1,Peppermint Mocha,http://dummyimage.com/121x177.png/ff4444/ffffff,http://redcross.org/accumsan/tortor/quis/turpis.png
Starbucks,13855 Conlan Cir,Charlotte,NC,3,(323) 8431876,4.61,1,1,1,1,0,Chai Tea Latte,http://dummyimage.com/212x161.jpg/5fa2dd/ffffff,http://whitehouse.gov/sapien/in/sapien/iaculis/congue/vivamus/metus.jsp
French Connection Baguette House,206 High Street,Dudley,ABE,4.5,(967) 6914205,3.81,1,1,1,0,1,Vanilla Cappuccino,http://dummyimage.com/162x107.jpg/dddddd/000000,https://ox.ac.uk/consectetuer/adipiscing/elit/proin.jpg
Starbucks Coffee,28053 Chagrin Blvd,Woodmere,OH,3,(176) 6543092,4.71,0,1,1,1,0,Chai Tea Latte,http://dummyimage.com/200x162.bmp/ff4444/ffffff,https://baidu.com/at/vulputate/vitae/nisl/aenean/lectus/pellentesque.xml
Drip Coffee Lounge,2325 N 7th St,Phoenix,AZ,3.5,(680) 4532182,4.03,1,0,0,1,1,Peppermint Mocha,http://dummyimage.com/138x190.png/dddddd/000000,https://livejournal.com/curae/mauris/viverra/diam/vitae/quam/suspendisse.js
Faith Coffee And Sweets,5040 Hwy 49 S,Harrisburg,NC,4,(353) 8037946,2.21,1,0,0,1,0,Nitro Cold Brew,http://dummyimage.com/243x218.png/cc0000/ffffff,https://techcrunch.com/a/feugiat/et/eros/vestibulum.js
Marathon Donuts & Coffee Shop,"3300 Midland Ave, Unit 32",Toronto,ON,4,(580) 4791515,3.11,0,0,1,1,0,Chai Tea Latte,http://dummyimage.com/175x117.jpg/dddddd/000000,https://sun.com/eleifend.png
The Coffee House & Sweet Buttercupcakes,117 S Water St,Henderson,NV,4.5,(986) 9673868,3.48,1,1,0,1,0,Peppermint Mocha,http://dummyimage.com/169x202.bmp/dddddd/000000,http://cbc.ca/sollicitudin/vitae.png
Starbucks,"2345 Murray Ave, Ste 110",Pittsburgh,PA,4,(300) 4727855,4.54,0,0,1,1,1,Vanilla Cappuccino,http://dummyimage.com/130x172.jpg/dddddd/000000,http://quantcast.com/placerat.jsp
Cantuccio,Kirchheimer Str. 50,Stuttgart,BW,5,(783) 2953401,3.24,0,1,0,1,1,Peppermint Mocha,http://dummyimage.com/176x129.bmp/dddddd/000000,https://usa.gov/ante/ipsum/primis/in/faucibus/orci/luctus.html
Carbon Cafe,96 Spadina Ave,Toronto,ON,4,(886) 6215569,4.82,1,1,0,0,0,Nitro Cold Brew,http://dummyimage.com/132x131.png/5fa2dd/ffffff,http://psu.edu/mauris/enim/leo/rhoncus/sed/vestibulum.json
Starbucks,1900 Dundas Street W,Mississauga,ON,3.5,(834) 9785668,3.89,0,1,1,1,0,Chai Tea Latte,http://dummyimage.com/227x100.png/5fa2dd/ffffff,https://wunderground.com/in/hac/habitasse/platea/dictumst/maecenas/ut.jsp
Tim Hortons,85 Laird Drive,Toronto,ON,3.5,(421) 5790162,4.64,0,1,1,0,0,Chai Tea Latte,http://dummyimage.com/134x154.jpg/cc0000/ffffff,https://virginia.edu/nec/dui/luctus.json
Tim Hortons,3650 Derry Rd E,Mississauga,ON,2.5,(542) 7460023,1.16,1,1,0,1,0,Nitro Cold Brew,http://dummyimage.com/223x214.jpg/cc0000/ffffff,https://blogs.com/elementum/pellentesque/quisque/porta/volutpat/erat/quisque.js
Friendship Perk And Brew,300 S Pacific Ave,Pittsburgh,PA,4.5,(878) 7041825,1.33,1,0,1,1,0,Chai Tea Latte,http://dummyimage.com/125x152.png/5fa2dd/ffffff,http://github.io/scelerisque/mauris.json
Greenbridge Teahouse and Cafe,9036 Church St,Twinsburg,OH,4,(347) 6652929,3.14,0,0,1,1,1,Vanilla Cappuccino,http://dummyimage.com/201x120.bmp/ff4444/ffffff,http://comsenz.com/lacinia/nisi.aspx
Costa,"78 South Bridge, Edinburgh",Edinburgh,EDH,3.5,(611) 4883718,3.99,0,1,0,0,0,Peppermint Mocha,http://dummyimage.com/108x142.jpg/5fa2dd/ffffff,https://japanpost.jp/pede.xml
Einstein Bagel Caribou Coffee,90T H St And Shea Blvd,Scottsdale,AZ,1.5,(157) 4617468,4.81,0,0,1,1,0,Peppermint Mocha,http://dummyimage.com/116x160.png/5fa2dd/ffffff,http://mac.com/congue/eget/semper/rutrum.png
Starbucks,20 Innovation Drive,Vaughan,ON,3.5,(426) 9728548,3.21,1,0,1,1,0,Vanilla Cappuccino,http://dummyimage.com/200x178.jpg/cc0000/ffffff,http://house.gov/nulla/neque/libero/convallis/eget.js
Presse Cafe,1070 Boul Du Grand-Heron,Saint Jerome,QC,3.5,(971) 3771782,3.46,1,1,1,0,1,Vanilla Cappuccino,http://dummyimage.com/134x234.jpg/5fa2dd/ffffff,http://baidu.com/eros/viverra/eget/congue/eget/semper.jpg
Milk Bar Caf,5612 Avenue de Monkland,Montreal,QC,4.5,(299) 2665245,3.96,1,0,0,1,0,Vanilla Cappuccino,http://dummyimage.com/115x197.jpg/5fa2dd/ffffff,https://sciencedaily.com/tristique.json
Beans n Cream Coffee House,345 Cannery Sq,Sun Prairie,WI,4,(462) 5929115,3.53,1,0,1,0,1,Chai Tea Latte,http://dummyimage.com/147x151.jpg/dddddd/000000,https://bluehost.com/erat/quisque/erat.js
Starbucks,"434 Gammon Pl, Ste 3",Madison,WI,2.5,(637) 7826870,3.99,0,0,0,0,1,Peppermint Mocha,http://dummyimage.com/250x239.png/cc0000/ffffff,http://reuters.com/pede/ullamcorper.jsp
Tabu Coffee Company,1852 E 6th St,Cleveland,OH,5,(973) 5248318,1.57,1,1,1,1,0,Chai Tea Latte,http://dummyimage.com/115x171.jpg/ff4444/ffffff,https://pinterest.com/lorem/integer/tincidunt.html
Ncounter,"888 N 1st Ave, Ste 114",Phoenix,AZ,4,(160) 7953025,4.28,1,0,1,0,1,Chai Tea Latte,http://dummyimage.com/173x200.bmp/5fa2dd/ffffff,https://blogtalkradio.com/maecenas/rhoncus/aliquam.js
Chabichou,196 Borden Street,Toronto,ON,4,(272) 5667040,4.92,0,0,0,1,1,Peppermint Mocha,http://dummyimage.com/138x120.png/cc0000/ffffff,https://sohu.com/metus/vitae/ipsum/aliquam.xml
Bonnet & Sons,38-40 Huntriss Row,Scarborough,NYK,3.5,(993) 3422934,2.74,1,0,0,1,1,Vanilla Cappuccino,http://dummyimage.com/206x230.bmp/ff4444/ffffff,http://forbes.com/tincidunt/eu/felis/fusce/posuere/felis.json
Tim Hortons,2322 Royal Windsor Drive,Oakville,ON,3,(479) 1827788,3.53,1,1,1,1,1,Chai Tea Latte,http://dummyimage.com/219x145.jpg/ff4444/ffffff,http://epa.gov/facilisi/cras.jsp
The Village Coffee Shop,"7100 E Cave Creek Rd, Ste 138",Cave Creek,AZ,4.5,(215) 1123134,4.64,0,1,0,1,0,Chai Tea Latte,http://dummyimage.com/242x204.png/ff4444/ffffff,http://wikimedia.org/elementum/ligula/vehicula/consequat/morbi.aspx
Dennys,7319 Mcknight Rd,Pittsburgh,PA,3,(197) 7539658,2.33,0,0,0,0,1,Nitro Cold Brew,http://dummyimage.com/199x101.bmp/5fa2dd/ffffff,http://1und1.de/duis.png
Alexandria Cafe,1940 Lawrence Avenue E,Toronto,ON,2,(315) 2796356,1.41,1,1,1,0,1,Chai Tea Latte,http://dummyimage.com/110x169.bmp/dddddd/000000,http://wisc.edu/felis/eu/sapien/cursus/vestibulum.xml
