name,address,city,state,stars,phone,wifiScore,outdoorSeating,liveMusic,outlets,veganMilk,food,popularItem,IMG,website
Phoenix Coffee,1793 Coventry Rd,Cleveland,OH,4.5,(718) 5038535,1.08,1,0,1,0,1,Peppermint Mocha,http://dummyimage.com/210x143.jpg/dddddd/000000,http://engadget.com/nisl/aenean/lectus/pellentesque.jpg
Press Coffee,601 W Rio Salado Pkwy,Tempe,AZ,4.5,(199) 5066413,3.45,1,1,0,1,1,Chai Tea Latte,http://dummyimage.com/165x138.bmp/dddddd/000000,https://merriam-webster.com/erat/curabitur/gravida.js
Starbucks,371 Howe Ave,Cuyahoga Falls,OH,4,(435) 6901290,4.17,0,1,1,1,0,Vanilla Cappuccino,http://dummyimage.com/241x238.png/5fa2dd/ffffff,http://constantcontact.com/justo/in.json
Jonathans Restaurant,200 Marycroft Avenue,Vaughan,ON,4,(804) 1997268,4.42,0,0,0,0,1,Vanilla Cappuccino,http://dummyimage.com/156x106.jpg/ff4444/ffffff,https://ca.gov/lectus/pellentesque/eget.xml
Daylight Donuts,"1305 W Guadalupe Rd, Ste E-3",Mesa,AZ,4.5,(254) 4753689,2.24,1,0,0,0,1,Vanilla Cappuccino,http://dummyimage.com/222x130.png/dddddd/000000,https://instagram.com/potenti/nullam/porttitor/lacus/at.jsp
Krispy Kreme,"84 The Centre, Almondvale Boulevard",Livingston,WLN,3.5,(757) 1406141,4.22,1,1,1,1,0,Peppermint Mocha,http://dummyimage.com/233x203.png/cc0000/ffffff,https://nih.gov/erat/volutpat/in/congue/etiam.png
Royal Coffee Bar and Roasting,502 S College Ave,Tempe,AZ,4.5,(928) 9895814,4.47,0,0,1,0,1,Chai Tea Latte,http://dummyimage.com/107x114.jpg/dddddd/000000,https://amazon.co.jp/nam/tristique.html
Second Cup,415 Spadina Road,Toronto,ON,4.5,(905) 2210180,1.07,0,0,0,0,1,Chai Tea Latte,http://dummyimage.com/198x102.png/cc0000/ffffff,https://craigslist.org/etiam/pretium/iaculis/justo.png
Boba Deli,"420 S. Mill Ave, Ste 106",Tempe,AZ,1,(498) 5843377,3.8,0,0,1,0,0,Peppermint Mocha,http://dummyimage.com/186x108.png/ff4444/ffffff,http://jalbum.net/malesuada/in/imperdiet/et.png
Starbucks,1800 Sheppard Avenue E,North York,ON,3.5,(467) 1611102,2.87,1,1,1,0,0,Peppermint Mocha,http://dummyimage.com/232x125.bmp/dddddd/000000,http://comcast.net/nec/dui/luctus/rutrum/nulla/tellus.html
SPLAT Coffee n Such,1131 S Main St,Mount Holly,NC,5,(583) 4521212,1.29,1,1,1,1,1,Vanilla Cappuccino,http://dummyimage.com/222x214.bmp/ff4444/ffffff,http://home.pl/sodales/sed.png
Daily Press,6604 Detroit Ave,Cleveland,OH,4.5,(867) 5546635,1.03,1,1,1,1,1,Nitro Cold Brew,http://dummyimage.com/125x247.bmp/cc0000/ffffff,https://sfgate.com/luctus/et/ultrices/posuere/cubilia/curae.js
Starbucks,111 Lakeshore Road W,Mississauga,ON,3.5,(269) 1541097,2.3,1,0,0,1,1,Peppermint Mocha,http://dummyimage.com/175x148.bmp/ff4444/ffffff,https://ning.com/ac.html
First Draft Book Bar,300 W Camelback Rd,Phoenix,AZ,4.5,(858) 7125744,2.16,0,1,0,0,1,Vanilla Cappuccino,http://dummyimage.com/204x177.jpg/cc0000/ffffff,https://nytimes.com/feugiat/et/eros/vestibulum/ac/est.jsp
Fat Freddys Cafe,16000 N Civic Center Plz,Surprise,AZ,4.5,(603) 8627434,3.75,1,1,1,1,0,Nitro Cold Brew,http://dummyimage.com/138x165.bmp/cc0000/ffffff,http://ameblo.jp/vulputate/vitae/nisl/aenean.json
Bosa Donuts,655 N Arizona Ave,Chandler,AZ,4,(596) 5018427,2.92,1,0,0,0,1,Vanilla Cappuccino,http://dummyimage.com/125x182.bmp/cc0000/ffffff,http://reference.com/maecenas/rhoncus/aliquam.jpg
Kulturcafe Cassiopeia,Waldebene Ost 20,Stuttgart,BW,4,(853) 1093434,3.25,0,0,0,1,1,Chai Tea Latte,http://dummyimage.com/150x223.bmp/ff4444/ffffff,http://opensource.org/at/velit/eu/est/congue.html
Timothys World Coffee,"Pickering Town Centre, 1355 Kingston Rd",Pickering,ON,3.5,(717) 7059100,1.23,0,1,1,0,0,Vanilla Cappuccino,http://dummyimage.com/192x127.jpg/cc0000/ffffff,http://webnode.com/purus/aliquet/at/feugiat/non/pretium/quis.xml
Caf e Bar Oben,Jahnstr. 120,Stuttgart,BW,3,(867) 2481021,1.13,1,1,0,1,0,Vanilla Cappuccino,http://dummyimage.com/124x242.bmp/ff4444/ffffff,http://cargocollective.com/curae/donec/pharetra/magna/vestibulum.html
Caribou Coffee,200 S College St,Charlotte,NC,3.5,(166) 2280103,3.06,1,1,1,0,0,Peppermint Mocha,http://dummyimage.com/152x130.bmp/ff4444/ffffff,http://china.com.cn/platea.jsp
Mr Eion,9 Dean Park Street,Edinburgh,EDH,5,(466) 3221177,3.79,1,1,1,0,1,Peppermint Mocha,http://dummyimage.com/184x206.jpg/dddddd/000000,http://goo.ne.jp/eu/est/congue/elementum.jsp
Redhawk Coffee,120 Meyran Ave,Pittsburgh,PA,5,(109) 7551843,1.77,0,1,1,0,1,Peppermint Mocha,http://dummyimage.com/217x186.bmp/cc0000/ffffff,https://yandex.ru/mi/in.xml
Blackwells,53-62 South Bridge,Edinburgh,EDH,4,(822) 6755126,1.45,1,1,0,1,1,Chai Tea Latte,http://dummyimage.com/226x124.jpg/5fa2dd/ffffff,https://cam.ac.uk/dui/proin/leo/odio.js
Caribou Coffee,34 Park Ln,Hudson,OH,4.5,(911) 3410743,2.29,1,0,1,1,1,Vanilla Cappuccino,http://dummyimage.com/181x118.jpg/5fa2dd/ffffff,https://adobe.com/dui/vel.png
Dunkin Donuts,1044 Rt 11,Champlain,NY,1,(298) 3797604,4.38,0,0,1,1,0,Vanilla Cappuccino,http://dummyimage.com/230x168.bmp/cc0000/ffffff,http://ycombinator.com/cursus.jpg
Byte Cafe,3615 Superior Ave E,Cleveland,OH,4.5,(469) 1507116,3.4,0,1,1,0,1,Chai Tea Latte,http://dummyimage.com/133x155.jpg/dddddd/000000,https://etsy.com/in/sapien/iaculis/congue.html
Starbucks,1 Place Ville-Marie,Montreal,QC,3.5,(608) 5015795,4.62,0,0,0,0,1,Vanilla Cappuccino,http://dummyimage.com/212x233.png/ff4444/ffffff,http://uol.com.br/rhoncus/aliquam/lacus/morbi/quis/tortor.xml
Brûlerie St-Denis,3039 Rue Masson,Montreal,QC,4,(774) 6852343,3.97,0,1,1,1,1,Chai Tea Latte,http://dummyimage.com/203x242.jpg/cc0000/ffffff,http://zimbio.com/molestie/nibh.png
Press Coffee,"15147 N Scottsdale Rd, Ste 102",Scottsdale,AZ,4,(520) 2169258,3.49,0,1,1,1,0,Chai Tea Latte,http://dummyimage.com/210x177.bmp/dddddd/000000,http://quantcast.com/curabitur/convallis/duis/consequat.aspx
Starbucks,"1820 W Northern Ave, Ste A140",Phoenix,AZ,3,(529) 9910978,3.74,1,0,0,0,1,Chai Tea Latte,http://dummyimage.com/138x175.jpg/dddddd/000000,http://theguardian.com/eros/vestibulum/ac/est.xml
Starbucks,8705 Yonge St,Richmond Hill,ON,3,(712) 3981749,4.59,0,0,0,0,0,Nitro Cold Brew,http://dummyimage.com/123x214.jpg/cc0000/ffffff,http://fema.gov/vestibulum/quam/sapien/varius.xml
Tim Hortons,1 Mt Pleasant Road,Toronto,ON,2,(851) 8923994,1.47,1,0,0,0,1,Chai Tea Latte,http://dummyimage.com/103x129.jpg/cc0000/ffffff,https://narod.ru/duis/bibendum/morbi/non/quam.png
Starbucks,1019 Sheppard Avenue E,Toronto,ON,3,(100) 4372711,4.17,0,1,1,1,1,Nitro Cold Brew,http://dummyimage.com/131x100.png/5fa2dd/ffffff,http://godaddy.com/in/hac/habitasse.aspx
C & C Kitchen,107 E Sangamon Ave,Rantoul,IL,4.5,(302) 5418380,2.16,0,1,1,0,0,Peppermint Mocha,http://dummyimage.com/114x114.png/5fa2dd/ffffff,https://facebook.com/leo/rhoncus/sed/vestibulum.json
Pure Intentions Coffee,"2215 N Tryon St, Ste A",Charlotte,NC,5,(911) 5557561,1.07,1,1,0,1,1,Vanilla Cappuccino,http://dummyimage.com/190x168.png/ff4444/ffffff,https://microsoft.com/ultrices/erat/tortor/sollicitudin/mi.html
Pink Box Bakery Cafe,2104 Murray Ave,Pittsburgh,PA,4,(662) 1688883,2.3,0,1,1,0,1,Nitro Cold Brew,http://dummyimage.com/133x235.jpg/cc0000/ffffff,http://discovery.com/feugiat/et/eros/vestibulum/ac/est/lacinia.png
JJ Bean,197 Bartley Drive,Toronto,ON,5,(371) 9229173,2.48,0,1,1,1,0,Chai Tea Latte,http://dummyimage.com/202x182.png/cc0000/ffffff,http://marketwatch.com/odio/in/hac.aspx
Starbucks,1545 Bayview Avenue,East York,ON,3.5,(830) 4796828,2.49,1,0,1,0,0,Peppermint Mocha,http://dummyimage.com/236x132.bmp/cc0000/ffffff,http://vistaprint.com/tortor/risus/dapibus/augue.aspx
La Cornetteria,6528 Saint-Laurent Boulevard,Montreal,QC,4,(544) 8060554,3.4,0,0,1,0,0,Vanilla Cappuccino,http://dummyimage.com/211x248.bmp/cc0000/ffffff,http://rakuten.co.jp/leo/rhoncus.aspx
Cupz N Crepes,4232 E Chandler Blvd,Ahwatukee,AZ,4,(606) 7407924,1.37,0,0,0,0,0,Vanilla Cappuccino,http://dummyimage.com/181x128.png/ff4444/ffffff,http://google.com.au/penatibus/et/magnis/dis/parturient/montes.js
Peets Coffee & Tea,17999 Bagley Road,Middleburg Heights,OH,3.5,(985) 8100939,2.88,1,0,0,0,0,Vanilla Cappuccino,http://dummyimage.com/250x172.bmp/cc0000/ffffff,http://nbcnews.com/vivamus/vestibulum/sagittis/sapien/cum/sociis/natoque.xml
Starbucks,570-598 E Osborn Rd,Phoenix,AZ,2,(321) 7006615,3.39,0,0,1,0,0,Peppermint Mocha,http://dummyimage.com/116x144.bmp/5fa2dd/ffffff,http://odnoklassniki.ru/magna/vulputate/luctus/cum/sociis/natoque.jsp
Desert Wind Coffee Roasters,7772 W Sahara Ave,Las Vegas,NV,5,(817) 9978929,4,0,1,0,0,0,Peppermint Mocha,http://dummyimage.com/150x244.png/5fa2dd/ffffff,https://freewebs.com/mattis/egestas/metus/aenean.aspx
Simit & Chai,787 King Street W,Toronto,ON,4.5,(815) 2193799,3.14,1,0,0,0,1,Nitro Cold Brew,http://dummyimage.com/122x198.png/5fa2dd/ffffff,http://jigsy.com/egestas/metus.html
Tim Hortons,5555 Eglinton Avenue W,Etobicoke,ON,2.5,(365) 9660292,2.71,0,1,0,0,1,Peppermint Mocha,http://dummyimage.com/170x168.jpg/5fa2dd/ffffff,http://google.co.uk/cursus/vestibulum/proin/eu.html
Sweet Esc,"30 Gibson Drive, Unit 120",Markham,ON,3.5,(408) 2506507,3.21,0,1,1,1,1,Vanilla Cappuccino,http://dummyimage.com/119x155.jpg/5fa2dd/ffffff,https://oaic.gov.au/sit/amet/turpis.aspx
Starbucks,9932 Knockando Ln,Huntersville,NC,4,(502) 4891505,4.43,1,0,1,0,1,Chai Tea Latte,http://dummyimage.com/124x194.jpg/cc0000/ffffff,https://youtu.be/curae/duis/faucibus.jpg
Dunkin Donuts,7422 Broadview Rd,Parma,OH,3,(651) 7606917,4.06,0,1,0,1,1,Chai Tea Latte,http://dummyimage.com/104x102.png/ff4444/ffffff,http://163.com/lacus/at/velit/vivamus.jpg
Caf e Pamenar,307 Augusta Avenue,Toronto,ON,4,(610) 7188123,4.72,0,0,0,1,0,Nitro Cold Brew,http://dummyimage.com/230x237.bmp/cc0000/ffffff,http://sogou.com/varius/nulla/facilisi/cras.html
Coffee Buddha,964 Perry Hwy,Pittsburgh,PA,4,(265) 4137723,2.38,0,1,0,1,0,Chai Tea Latte,http://dummyimage.com/208x237.png/cc0000/ffffff,https://tinyurl.com/metus/vitae/ipsum/aliquam/non/mauris/morbi.jpg
Second Cup Coffee Company,8910 Yonge Street,Richmond Hill,ON,2.5,(976) 1315470,2.6,1,1,0,1,1,Nitro Cold Brew,http://dummyimage.com/102x238.bmp/dddddd/000000,http://washington.edu/sit/amet/nulla.xml
Jimmys Coffee,"Kensington Market, 191 Baldwin Street",Toronto,ON,4,(354) 4861341,1.46,1,1,0,1,0,Peppermint Mocha,http://dummyimage.com/132x195.jpg/cc0000/ffffff,http://dailymotion.com/nulla/elit/ac/nulla/sed/vel/enim.json
Starbucks,Santan Village Pkwy,Gilbert,AZ,2.5,(796) 4234402,3.58,0,0,1,0,0,Vanilla Cappuccino,http://dummyimage.com/197x208.png/5fa2dd/ffffff,https://wired.com/dis/parturient/montes/nascetur/ridiculus/mus.png
Second Cup Colossus,"21 Famous Avenue, Unit 4",Vaughan,ON,2,(409) 8793682,1.84,0,1,1,0,1,Nitro Cold Brew,http://dummyimage.com/218x191.png/ff4444/ffffff,http://who.int/hac/habitasse/platea/dictumst.html
Burger King,Königsberger Str. 14,Böblingen,BW,3,(687) 4170625,3.54,0,0,1,1,0,Chai Tea Latte,http://dummyimage.com/167x194.jpg/ff4444/ffffff,https://wired.com/vitae/nisi/nam/ultrices/libero/non.js
Starbucks,5434 New Fashion Way,Charlotte,NC,2.5,(143) 2486756,2.72,0,0,0,1,0,Peppermint Mocha,http://dummyimage.com/166x209.bmp/cc0000/ffffff,https://youtu.be/tellus/in.js
Cafe Odessa,65 Rue Beaubien Est,Montreal,QC,4,(993) 1945304,1.39,0,1,1,0,1,Peppermint Mocha,http://dummyimage.com/118x172.bmp/5fa2dd/ffffff,https://smugmug.com/donec.jpg
Nestle Toll House Cafe by Chip,6629 Las Vegas Blvd S,Las Vegas,NV,3.5,(303) 2966146,2.32,1,1,0,1,1,Chai Tea Latte,http://dummyimage.com/191x202.png/ff4444/ffffff,http://jugem.jp/vestibulum/eget/vulputate.png
Goodkind Coffee,15526 Madison Ave,Lakewood,OH,4.5,(390) 6798546,4.83,0,0,1,1,0,Peppermint Mocha,http://dummyimage.com/105x154.jpg/ff4444/ffffff,https://cmu.edu/mauris/vulputate/elementum.aspx
Tim Hortons,1728 Bloor Street W,Toronto,ON,4,(735) 7481114,3.93,1,1,1,0,1,Nitro Cold Brew,http://dummyimage.com/111x201.jpg/cc0000/ffffff,http://usatoday.com/faucibus/orci/luctus.aspx
Sonoma Coffee Cafe,9261 E Via de Ventura Blvd,Scottsdale,AZ,4,(760) 3230741,4.15,0,0,1,0,1,Peppermint Mocha,http://dummyimage.com/124x105.jpg/dddddd/000000,https://shop-pro.jp/massa/id/nisl/venenatis.json
Starbucks,3515 University Ave,Madison,WI,3,(355) 5066653,3.16,0,0,0,0,0,Vanilla Cappuccino,http://dummyimage.com/140x205.png/dddddd/000000,https://forbes.com/neque.jpg
Gaia,32 Crighton Place,Edinburgh,EDH,4,(719) 4685454,1.24,0,1,1,0,1,Nitro Cold Brew,http://dummyimage.com/204x143.bmp/5fa2dd/ffffff,https://jimdo.com/mauris/morbi/non/lectus.js
Coffreez,Königstr. 22,Stuttgart,BW,4.5,(108) 3832673,1.15,1,0,1,1,0,Nitro Cold Brew,http://dummyimage.com/136x227.jpg/ff4444/ffffff,https://weibo.com/ut/ultrices/vel/augue/vestibulum.json
Starbucks,"2425 E Camelback Rd, Ste 101",Phoenix,AZ,4.5,(504) 7847909,4.06,0,1,0,1,0,Nitro Cold Brew,http://dummyimage.com/110x211.png/dddddd/000000,https://desdev.cn/id/nisl/venenatis/lacinia/aenean.jsp
The Beatnik Coffee & Espresso,101-129 S 7th St,Las Vegas,NV,3,(262) 5521547,3.9,0,1,0,0,0,Peppermint Mocha,http://dummyimage.com/127x101.jpg/5fa2dd/ffffff,https://istockphoto.com/ut/blandit/non/interdum/in/ante/vestibulum.png
Recess Italian Ice & Desserts,"5035 S Fort Apache Rd, Ste 104",Las Vegas,NV,4,(373) 8706692,1.94,0,0,1,1,1,Nitro Cold Brew,http://dummyimage.com/167x111.jpg/cc0000/ffffff,http://disqus.com/interdum/in/ante/vestibulum/ante.aspx
Stragusto,152 rue Mozart Est,Montreal,QC,5,(681) 5223818,4.41,0,0,1,1,1,Vanilla Cappuccino,http://dummyimage.com/237x119.png/dddddd/000000,http://biglobe.ne.jp/et/magnis/dis/parturient/montes/nascetur/ridiculus.html
Snooze An AM Eatery,"2045 E Camelback Rd, Ste A17, Town and Country",Phoenix,AZ,4,(211) 7268175,3.13,1,1,1,0,0,Chai Tea Latte,http://dummyimage.com/211x216.bmp/ff4444/ffffff,https://sogou.com/ac/lobortis/vel/dapibus/at/diam.png
Caffe Nero,High School Yards,Edinburgh,EDH,4,(807) 8896876,1.16,1,1,0,0,1,Chai Tea Latte,http://dummyimage.com/168x104.png/dddddd/000000,http://networksolutions.com/justo/sollicitudin/ut/suscipit/a/feugiat.aspx
Just The Ticket,1 Montrose Terrace,Edinburgh,EDH,4.5,(212) 8712810,3.47,0,1,0,1,1,Peppermint Mocha,http://dummyimage.com/124x205.jpg/5fa2dd/ffffff,https://dion.ne.jp/nunc/commodo.json
Geppetto Cafe,4121 Butler St,Pittsburgh,PA,4.5,(818) 1957175,2.59,1,0,1,0,0,Vanilla Cappuccino,http://dummyimage.com/247x105.png/dddddd/000000,https://sourceforge.net/felis/ut/at.png
Hex Coffee,125 Remount Rd,Charlotte,NC,5,(260) 3486357,2.82,0,0,0,1,1,Nitro Cold Brew,http://dummyimage.com/224x159.png/dddddd/000000,https://printfriendly.com/non/interdum/in/ante.xml
Starbucks,11302 Euclid Ave,Cleveland,OH,3,(521) 5606566,3.9,0,1,1,0,1,Nitro Cold Brew,http://dummyimage.com/192x178.jpg/ff4444/ffffff,https://cloudflare.com/leo/maecenas/pulvinar/lobortis/est/phasellus.html
March e du Vieux,217 Boulevard Saint-Laurent,Montreal,QC,3.5,(410) 6067826,1.09,1,0,1,0,1,Peppermint Mocha,http://dummyimage.com/244x103.bmp/dddddd/000000,http://shareasale.com/sed/justo/pellentesque/viverra/pede/ac/diam.png
Ding Tea Las Vegas,"4725 Spring Mountain Rd, Ste F",Las Vegas,NV,4,(410) 6603571,3.04,1,0,0,1,0,Peppermint Mocha,http://dummyimage.com/170x165.jpg/ff4444/ffffff,http://google.de/sapien/arcu/sed/augue/aliquam/erat/volutpat.js
Pavillion Pastries Cafe,2554 Danforth Avenue,Toronto,ON,3.5,(516) 3341712,3.31,0,0,1,1,1,Chai Tea Latte,http://dummyimage.com/175x148.png/dddddd/000000,http://amazon.de/scelerisque/mauris/sit/amet/eros.xml
Kung Fu Tea,"449 State St, Unit A",Madison,WI,4,(689) 9557743,1.82,0,0,0,0,1,Peppermint Mocha,http://dummyimage.com/111x192.png/ff4444/ffffff,http://lycos.com/sagittis.json
California Coffee Bar,3619 California Ave,Pittsburgh,PA,5,(655) 9551108,1.16,1,0,0,1,1,Chai Tea Latte,http://dummyimage.com/206x132.png/ff4444/ffffff,http://cbslocal.com/rutrum.json
Grams,16 Haymarket Terrace,Edinburgh,EDH,4,(290) 5408042,2.91,1,1,0,0,1,Peppermint Mocha,http://dummyimage.com/236x234.png/dddddd/000000,http://toplist.cz/vel/dapibus/at/diam/nam/tristique.jsp
Tim Hortons,145 King St W,Toronto,ON,2.5,(708) 8405804,2.75,0,0,1,0,1,Vanilla Cappuccino,http://dummyimage.com/119x107.png/5fa2dd/ffffff,https://state.tx.us/sem/sed/sagittis.js
Caf e Le Placard,2129 Avenue du Mont Royal Est,Montreal,QC,3.5,(129) 4418456,4.71,1,1,1,0,1,Vanilla Cappuccino,http://dummyimage.com/229x217.bmp/cc0000/ffffff,http://cbsnews.com/adipiscing/elit/proin/risus/praesent/lectus/vestibulum.aspx
Starbucks,"5757 Wayne Newton Blvd, Terminal C, Gate 16",Las Vegas,NV,2.5,(228) 5034016,3.19,1,0,1,0,1,Nitro Cold Brew,http://dummyimage.com/207x177.jpg/5fa2dd/ffffff,https://about.me/lobortis/ligula/sit/amet/eleifend/pede/libero.js
Hale Coffee,300 Campbell Avenue,Toronto,ON,4.5,(665) 8578458,3.02,1,1,0,0,0,Chai Tea Latte,http://dummyimage.com/198x239.jpg/dddddd/000000,https://dailymotion.com/ac.jpg
Tim Hortons,148 Simcoe Street,Toronto,ON,2,(103) 9361052,4.23,0,1,1,0,1,Chai Tea Latte,http://dummyimage.com/242x159.jpg/ff4444/ffffff,http://arstechnica.com/eros/suspendisse/accumsan/tortor/quis/turpis/sed.jpg
The Chocolate Lounge,"Harvey Nichols - Forth Floor, 30 - 34 St Andrew Square",Edinburgh,EDH,4.5,(245) 1464770,4.05,0,0,1,1,0,Nitro Cold Brew,http://dummyimage.com/227x138.jpg/ff4444/ffffff,http://dell.com/fusce/congue/diam.aspx
Kimberly Anns Tea Room & Cafe,7153 N 59th Ave,Glendale,AZ,3,(500) 7832555,1.39,1,0,0,0,1,Chai Tea Latte,http://dummyimage.com/250x165.png/dddddd/000000,http://mayoclinic.com/eros/elementum.html
Souvia Tea,"15414 N 7th St, Ste 8",Phoenix,AZ,4.5,(189) 6635961,4.83,1,0,0,0,1,Vanilla Cappuccino,http://dummyimage.com/167x188.png/ff4444/ffffff,https://php.net/a/feugiat.json
Dunkin Donuts,4727 E Bell Rd,Phoenix,AZ,2.5,(594) 8555331,1.67,0,0,0,1,0,Vanilla Cappuccino,http://dummyimage.com/215x184.bmp/dddddd/000000,http://odnoklassniki.ru/erat/eros.json
The Willow House,1722 W Van Buren St,Phoenix,AZ,3,(983) 3932372,3.77,1,1,1,1,1,Vanilla Cappuccino,http://dummyimage.com/219x118.jpg/cc0000/ffffff,https://bandcamp.com/cum/sociis.json
Starbucks,"7700 W Arrowhead Town Ctr, Ste 1082",Glendale,AZ,3.5,(560) 9110400,4.63,1,1,1,1,0,Nitro Cold Brew,http://dummyimage.com/248x168.png/5fa2dd/ffffff,http://yandex.ru/lorem/id/ligula/suspendisse/ornare/consequat/lectus.aspx
Procaffeination,4 St Mary's Street,Edinburgh,EDH,4,(192) 8087618,2.41,1,1,1,0,0,Vanilla Cappuccino,http://dummyimage.com/122x189.png/dddddd/000000,http://technorati.com/adipiscing/elit/proin/interdum/mauris/non/ligula.json
Au Bon Pain,4910 Forbes Ave,Pittsburgh,PA,3,(197) 7866898,3.33,0,1,0,0,1,Nitro Cold Brew,http://dummyimage.com/205x227.jpg/dddddd/000000,http://archive.org/ante/ipsum/primis/in/faucibus.js
Northern Perks Doughnuts & Coffee,1255 E Northern Ave,Phoenix,AZ,5,(322) 2559030,2.05,1,0,1,0,1,Peppermint Mocha,http://dummyimage.com/150x114.bmp/dddddd/000000,https://hc360.com/donec/posuere/metus/vitae/ipsum.jpg
Teavana,1004 S Park Ctr,Strongsville,OH,3,(429) 4984820,3.09,0,1,0,0,1,Chai Tea Latte,http://dummyimage.com/191x166.jpg/5fa2dd/ffffff,https://umn.edu/sed/sagittis.json
Deacons House Cafe,"3 Brodie's Close, 304 Lawnmarket",Edinburgh,EDH,3.5,(683) 2228591,1.8,0,1,1,0,1,Nitro Cold Brew,http://dummyimage.com/180x221.png/ff4444/ffffff,http://godaddy.com/accumsan/felis.xml
Shäika Caf e,5526 Rue Sherbrooke Ouest,Montreal,QC,4,(188) 2723638,2.2,0,1,1,1,1,Vanilla Cappuccino,http://dummyimage.com/171x230.jpg/ff4444/ffffff,http://harvard.edu/nisi/vulputate/nonummy/maecenas/tincidunt/lacus/at.png
Dodos Cafe,66 W Towne Mall,Madison,WI,4,(513) 4547369,3.48,1,1,0,0,1,Nitro Cold Brew,http://dummyimage.com/220x238.jpg/cc0000/ffffff,https://buzzfeed.com/erat/curabitur/gravida/nisi/at.jpg
Remarkable Bean,1103 Queen Street E,Toronto,ON,4,(859) 9210919,4.05,0,0,1,0,1,Nitro Cold Brew,http://dummyimage.com/188x194.bmp/dddddd/000000,https://cnbc.com/tellus/nulla/ut.png
Teddy Story,"82 Adelaide Street E, Unit C",Toronto,ON,4.5,(667) 7525382,2.39,0,0,0,1,0,Vanilla Cappuccino,http://dummyimage.com/126x178.jpg/cc0000/ffffff,http://uiuc.edu/neque/duis/bibendum/morbi/non/quam/nec.png
Starbucks,139 Yorkville Ave,Toronto,ON,3,(607) 2050636,4.43,0,1,0,0,0,Peppermint Mocha,http://dummyimage.com/183x149.png/ff4444/ffffff,https://deliciousdays.com/ut/mauris/eget/massa/tempor/convallis/nulla.jpg
Tim Hortons,494 Dundas St W,Oakville,ON,4.5,(593) 5810881,4.18,0,1,1,1,0,Vanilla Cappuccino,http://dummyimage.com/141x180.png/5fa2dd/ffffff,https://pcworld.com/augue/quam/sollicitudin/vitae.png
Krispy Kreme,"3607 E Bell Rd, Ste 1",Phoenix,AZ,3.5,(687) 7379689,4.82,1,0,1,1,0,Chai Tea Latte,http://dummyimage.com/237x204.jpg/5fa2dd/ffffff,https://unblog.fr/ultrices/mattis.xml
